Agency County,Agency Name,Type of Tax/Debt,Amount of Bond/Tax,Purpose,Measure,% Yes,% No,Result (Pass/Fail),Threshold,Election Year,Election Type,Election Date
Los Angeles,ABC Unified School District,General Obligation Bond,"$195,200,000 ",K-12 School Facility,AA,44,56.1,Fail,55%,2014,General,11/4/2014 0:00
Sacramento,Natomas Unified School District,General Obligation Bond,"$129,000,000 ",K-12 School Facility,J,72.1,27.9,Pass,55%,2014,General,11/4/2014 0:00
Contra Costa,John Swett Unified School District,General Obligation Bond,"$52,000,000 ",K-12 School Facility,M,53.9,46.1,Fail,55%,2014,General,11/4/2014 0:00
Los Angeles,Downey Unified School District,General Obligation Bond,"$248,000,000 ",K-12 School Facility,O,61.9,38.1,Pass,55%,2014,General,11/4/2014 0:00
Los Angeles,Los Nietos School District,General Obligation Bond,"$13,000,000 ",K-12 School Facility,N,77,23,Pass,55%,2014,General,11/4/2014 0:00
Los Angeles,Los Nietos School District,General Obligation Bond,"$15,000,000 ",K-12 School Facility,E,77.1,22.9,Pass,55%,2014,General,11/4/2014 0:00
Marin,Dixie School District,General Obligation Bond,"$30,000,000 ",K-12 School Facility,C,74.6,25.4,Pass,55%,2014,General,11/4/2014 0:00
Marin,Kentfield School District,General Obligation Bond,"$30,000,000 ",K-12 School Facility,D,70.9,29.1,Pass,55%,2014,General,11/4/2014 0:00
Monterey,Pacific Grove Unified School District,General Obligation Bond,"$18,000,000 ",K-12 School Facility,A,59.8,40.2,Pass,55%,2014,General,11/4/2014 0:00
San Joaquin,Manteca Unified School District,General Obligation Bond,"$159,000,000 ",K-12 School Facility,G,59.1,41,Pass,55%,2014,General,11/4/2014 0:00
San Mateo,Bayshore Elementary School District,PLF Debt,Parcel Tax: Renew annual parcel tax of $102.94 per taxable land parcel for 8 years.,K-12 School Facility,K,73.5,26.5,Pass,two-thirds,2014,General,11/4/2014 0:00
Santa Barbara,Carpinteria Unified School District,General Obligation Bond,"$90,000,000 ",K-12 School Facility,U,66.3,33.7,Pass,55%,2014,General,11/4/2014 0:00
Sonoma,Cinnabar Elementary School District,General Obligation Bond,"$2,500,000 ",K-12 School Facility,J,61.1,38.9,Pass,55%,2014,General,11/4/2014 0:00
Orange,Anaheim Union High School District,General Obligation Bond,"$249,000,000 ",K-12 School Facility,H,59.1,40.9,Pass,55%,2014,General,11/4/2014 0:00
Alameda,Emery Unified School District,PLF Debt,Parcel Tax: Renew parcel tax of 15›/sq. ft. of building area for 20 years.,K-12 School Facility,K,85.7,14.4,Pass,two-thirds,2014,General,11/4/2014 0:00
Shasta,Columbia Elementary School District,General Obligation Bond,"$8,600,000 ",K-12 School Facility,E,56.7,43.4,Pass,55%,2014,General,11/4/2014 0:00
San Diego,Lemon Grove School District,General Obligation Bond,"$10,000,000 ",K-12 School Facility,R,71.9,28.1,Pass,55%,2014,General,11/4/2014 0:00
San Diego,National School District,General Obligation Bond,"$26,100,000 ",K-12 School Facility,N,78.6,21.4,Pass,55%,2014,General,11/4/2014 0:00
San Diego,Vallecitos School District,General Obligation Bond,"$2,000,000 ",K-12 School Facility,O,53.5,46.5,Fail,55%,2014,General,11/4/2014 0:00
Lake,Lakeport Unified School District,General Obligation Bond,"$17,000,000 ",K-12 School Facility,T,65.9,34.1,Pass,55%,2014,General,11/4/2014 0:00
San Mateo,Belmont-Redwood Shores School District,General Obligation Bond,"$48,000,000 ",K-12 School Facility,I,64.8,35.2,Pass,55%,2014,General,11/4/2014 0:00
Santa Barbara,Montecito Union School District,General Obligation Bond,"$27,150,000 ",K-12 School Facility,Q,44.4,55.6,Fail,55%,2014,General,11/4/2014 0:00
Sonoma,Santa Rosa Elementary School District,General Obligation Bond,"$54,000,000 ",K-12 School Facility,L,69.1,30.9,Pass,55%,2014,General,11/4/2014 0:00
Merced,Gustine Unified School District,General Obligation Bond,"$14,000,000 ",K-12 School Facility,P,65.9,34.2,Pass,55%,2014,General,11/4/2014 0:00
Monterey,Greenfield Union School District (Monterey County),General Obligation Bond,"$10,000,000 ",K-12 School Facility,C,62.4,37.6,Pass,55%,2014,General,11/4/2014 0:00
Monterey,Greenfield Union School District (Monterey County),General Obligation Bond,"$10,000,000 ",K-12 School Facility,D,60.8,39.2,Pass,55%,2014,General,11/4/2014 0:00
Ventura,Briggs Elementary School District,General Obligation Bond,"$4,500,000 ",K-12 School Facility,K,67.8,32.2,Pass,55%,2014,General,11/4/2014 0:00
Colusa,Colusa Unified School District,General Obligation Bond,"$5,900,000 ",K-12 School Facility,A,63.1,36.9,Pass,55%,2014,General,11/4/2014 0:00
Multiple,East Nicolaus Joint Union High School District,General Obligation Bond,"$4,000,000 ",K-12 School Facility,W,67.6,32.4,Pass,55%,2014,General,11/4/2014 0:00
Mendocino,Laytonville Unified School District,General Obligation Bond,"$5,500,000 ",K-12 School Facility,Q,68.7,31.3,Pass,55%,2014,General,11/4/2014 0:00
Alameda,Alameda Unified School District,General Obligation Bond,"$179,500,000 ",K-12 School Facility,I,62.8,37.3,Pass,55%,2014,General,11/4/2014 0:00
Humboldt,Eureka City Schools,General Obligation Bond,"$49,750,000 ",K-12 School Facility,S,57.4,42.6,Pass,55%,2014,General,11/4/2014 0:00
Tulare,Porterville Unified School District,General Obligation Bond,"$67,000,000 ",K-12 School Facility,B,38.5,61.5,Fail,55%,2014,General,11/4/2014 0:00
Fresno,Golden Plains Unified School District,General Obligation Bond,"$13,000,000 ",K-12 School Facility,G,61.2,38.9,Pass,55%,2014,General,11/4/2014 0:00
Los Angeles,Hermosa Beach City School District,General Obligation Bond,"$54,000,000 ",K-12 School Facility,Q,54.5,45.5,Fail,55%,2014,General,11/4/2014 0:00
Los Angeles,Norwalk-La Mirada Unified School District,General Obligation Bond,"$375,000,000 ",K-12 School Facility,G,57.4,42.6,Pass,55%,2014,General,11/4/2014 0:00
Santa Barbara,College Elementary School District,General Obligation Bond,"$12,000,000 ",K-12 School Facility,Y,50,50,Fail,55%,2014,General,11/4/2014 0:00
Marin,Ross Elementary School District,PLF Debt,Parcel Tax: Impose $184 parcel tax for 8 years.,K-12 School Facility,E,75.6,24.5,Pass,two-thirds,2014,General,11/4/2014 0:00
Humboldt,Fortuna Elementary School District,General Obligation Bond,"$9,000,000 ",K-12 School Facility,W,44.6,55.4,Fail,55%,2014,General,11/4/2014 0:00
Multiple,Southern Humboldt Joint Unified School District,General Obligation Bond,"$10,000,000 ",K-12 School Facility,X,65,35,Pass,55%,2014,General,11/4/2014 0:00
Tulare,Tipton Elementary School District,General Obligation Bond,"$3,300,000 ",K-12 School Facility,C,59.8,40.2,Pass,55%,2014,General,11/4/2014 0:00
Imperial,McCabe Union Elementary School District,General Obligation Bond,"$7,000,000 ",K-12 School Facility,G,56.9,43.1,Pass,55%,2014,General,11/4/2014 0:00
Marin,Bolinas-Stinson Union School District,General Obligation Bond,"$9,000,000 ",K-12 School Facility,B,49.7,50.3,Fail,55%,2014,General,11/4/2014 0:00
San Mateo,Cabrillo Unified School District,PLF Debt,Parcel Tax: Renew expiring $150 education parcel tax for 5 yrs.,K-12 School Facility,B,70.75,29.25,Pass,two-thirds,2014,Primary,6/3/2014 0:00
Alameda,Fremont Unified School District,General Obligation Bond,"$650,000,000 ",K-12 School Facility,E,61.18,38.82,Pass,55%,2014,Primary,6/3/2014 0:00
Alameda,Livermore Valley Joint Unified School District,PLF Debt,Parcel Tax:  Levy annual tax of $138 per parcel for seven years.,K-12 School Facility,G,72.37,27.63,Pass,two-thirds,2014,Primary,6/3/2014 0:00
San Mateo,Sequoia Union High School District,General Obligation Bond,"$265,000,000 ",K-12 School Facility,A,65.61,34.39,Pass,55%,2014,Primary,6/3/2014 0:00
Fresno,Pine Ridge Elementary School District,General Obligation Bond,"$4,000,000 ",K-12 School Facility,R,51.23,48.77,Fail,55%,2014,Primary,6/3/2014 0:00
Solano,Benicia Unified School District,General Obligation Bond,"$49,600,000 ",K-12 School Facility,S,63.55,36.45,Pass,55%,2014,Primary,6/3/2014 0:00
Santa Clara,Milpitas Unified School District,PLF Debt,Parcel Tax: Renew expiring $84 education parcel tax for 8 yrs.,K-12 School Facility,C,74.03,25.97,Pass,two-thirds,2014,Primary,6/3/2014 0:00
Sonoma,Cotati-Rohnert Park Unified School District,General Obligation Bond,"$80,000,000 ",K-12 School Facility,B,63.1,36.9,Pass,55%,2014,Primary,6/3/2014 0:00
Los Angeles,Culver City Unified School District,General Obligation Bond,"$106,000,000 ",K-12 School Facility,CC,76.28,23.72,Pass,55%,2014,Primary,6/3/2014 0:00
Alameda,Piedmont Unified School District,General Obligation Bond,"$13,500,000 ",K-12 School Facility,H,47.66,52.34,Fail,55%,2014,Primary,6/3/2014 0:00
Santa Clara,Evergreen School District,PLF Debt,Parcel Tax: Renew tax at $100 per parcel for 5 yrs.,K-12 School Facility,H,74.9,25.1,Pass,two-thirds,2014,Primary,6/3/2014 0:00
Riverside,Perris Elementary School District,General Obligation Bond,"$40,000,000 ",K-12 School Facility,C,66.34,33.66,Pass,55%,2014,Primary,6/3/2014 0:00
San Mateo,Woodside Elementary School District,General Obligation Bond,"$13,500,000 ",K-12 School Facility,D,64.35,35.65,Pass,55%,2014,Primary,6/3/2014 0:00
Kern,Mojave Unified School District,General Obligation Bond,"$8,100,000 ",K-12 School Facility,A,54.81,45.19,Fail,55%,2014,Primary,6/3/2014 0:00
Sonoma,Rincon Valley Union School District,General Obligation Bond,"$35,000,000 ",K-12 School Facility,F,66.8,33.2,Pass,55%,2014,Primary,6/3/2014 0:00
Santa Clara,Union Elementary School District,General Obligation Bond,"$125,000,000 ",K-12 School Facility,J,68.83,31.17,Pass,55%,2014,Primary,6/3/2014 0:00
Sonoma,Petaluma City Elementary School District,General Obligation Bond,"$21,000,000 ",K-12 School Facility,E,68.3,31.7,Pass,55%,2014,Primary,6/3/2014 0:00
Multiple,Petaluma Joint Union High School District,General Obligation Bond,"$68,000,000 ",K-12 School Facility,C,64.88,35.12,Pass,55%,2014,Primary,6/3/2014 0:00
Merced,Planada Elementary School District,General Obligation Bond,"$1,500,000 ",K-12 School Facility,O,62.32,37.68,Pass,55%,2014,Primary,6/3/2014 0:00
Contra Costa,West Contra Costa Unified School District,General Obligation Bond,"$270,000,000 ",K-12 School Facility,H,46.3,53.7,Fail,55%,2014,Primary,6/3/2014 0:00
Fresno,Parlier Unified School District,General Obligation Bond,"$6,000,000 ",K-12 School Facility,P,65.95,34.05,Pass,55%,2014,Primary,6/3/2014 0:00
Glenn,Willows Unified School District,General Obligation Bond,"$14,000,000 ",K-12 School Facility,R,49.34,50.66,Fail,55%,2014,Primary,6/3/2014 0:00
Merced,Merced City School District,General Obligation Bond,"$60,000,000 ",K-12 School Facility,M,57.25,42.75,Pass,55%,2014,Primary,6/3/2014 0:00
Merced,Merced River School District,General Obligation Bond,"$1,800,000 ",K-12 School Facility,L,61.29,38.71,Pass,55%,2014,Primary,6/3/2014 0:00
Multiple,San Benito High School District,General Obligation Bond,"$42,500,000 ",K-12 School Facility,G,56.26,43.74,Pass,55%,2014,Primary,6/3/2014 0:00
San Mateo,Bayshore Elementary School District,General Obligation Bond,"$6,000,000 ",K-12 School Facility,C,82.07,17.93,Pass,55%,2014,Primary,6/3/2014 0:00
Multiple,Los Gatos-Saratoga Joint Union High School District,General Obligation Bond,"$99,000,000 ",K-12 School Facility,E,63.99,36.01,Pass,55%,2014,Primary,6/3/2014 0:00
Santa Clara,Mt Pleasant Elementary School District,PLF Debt,Parcel Tax: Renew expiring $95 parcel tax for 7 yrs.,K-12 School Facility,K,77.36,22.64,Pass,two-thirds,2014,Primary,6/3/2014 0:00
Tulare,Pixley Union Elementary School District,General Obligation Bond,"$7,800,000 ",K-12 School Facility,Z,76.85,23.15,Pass,55%,2014,Primary,6/3/2014 0:00
Multiple,Winters Joint Unified School District,General Obligation Bond,"$15,000,000 ",K-12 School Facility,R,71.33,28.67,Pass,55%,2014,Primary,6/3/2014 0:00
San Diego,Coronado Unified School District,General Obligation Bond,"$29,000,000 ",K-12 School Facility,E,42.01,57.99,Fail,55%,2014,Primary,6/3/2014 0:00
Multiple,Kingsburg Joint Union High School District,General Obligation Bond,"$13,000,000 ",K-12 School Facility,K,55.83,44.17,Pass,55%,2014,Primary,6/3/2014 0:00
Orange,Buena Park School District,General Obligation Bond,"$71,000,000 ",K-12 School Facility,B,66.9,33.1,Pass,55%,2014,Primary,6/3/2014 0:00
Merced,Le Grand Union High School District,General Obligation Bond,"$4,200,000 ",K-12 School Facility,N,55.93,44.07,Pass,55%,2014,Primary,6/3/2014 0:00
Monterey,Gonzales Unified School District,General Obligation Bond,"$16,900,000 ",K-12 School Facility,N,49.51,50.49,Fail,55%,2014,Primary,6/3/2014 0:00
Santa Cruz,Scotts Valley Unified School District,General Obligation Bond,"$35,000,000 ",K-12 School Facility,A,72.17,27.83,Pass,55%,2014,Primary,6/3/2014 0:00
Santa Clara,Cambrian Elementary School District,General Obligation Bond,"$39,000,000 ",K-12 School Facility,I,72.47,27.53,Pass,55%,2014,Primary,6/3/2014 0:00
Fresno,Golden Plains Unified School District,General Obligation Bond,"$13,000,000 ",K-12 School Facility,G,53.04,46.96,Fail,55%,2014,Primary,6/3/2014 0:00
Kern,Elk Hills Elementary School District,General Obligation Bond,"$7,130,000 ",K-12 School Facility,B,47.5,52.5,Fail,55%,2014,Primary,6/3/2014 0:00
Shasta,Happy Valley Union Elementary School District,General Obligation Bond,"$2,495,000 ",K-12 School Facility,C,63.18,36.82,Pass,55%,2014,Primary,6/3/2014 0:00
Multiple,Southern Humboldt Joint Unified School District,General Obligation Bond,"$10,000,000 ",K-12 School Facility,N,54,46,Fail,55%,2014,Primary,6/3/2014 0:00
Marin,Larkspur-Corte Madera School District,General Obligation Bond,"$19,000,000 ",K-12 School Facility,D,70.07,29.93,Pass,55%,2014,Primary,6/3/2014 0:00
Humboldt,Hydesville Elementary School District,General Obligation Bond,"$1,100,000 ",K-12 School Facility,M,65.77,34.23,Pass,55%,2014,Primary,6/3/2014 0:00
Tulare,Springville Union Elementary School District,General Obligation Bond,"$2,200,000 ",K-12 School Facility,J,58.94,41.06,Pass,55%,2014,Primary,6/3/2014 0:00
Mendocino,Round Valley Unified School District,General Obligation Bond,"$4,000,000 ",K-12 School Facility,L,72.86,27.14,Pass,55%,2014,Primary,6/3/2014 0:00
Sonoma,Bellevue Union School District,General Obligation Bond,"$12,000,000 ",K-12 School Facility,D,62.2,37.8,Pass,55%,2014,Primary,6/3/2014 0:00
Multiple,Princeton Joint Unified School District,General Obligation Bond,"$2,750,000 ",K-12 School Facility,S,62.98,37.02,Pass,55%,2014,Primary,6/3/2014 0:00
San Joaquin,Tracy Unified School District Facilities Improvement District 3,General Obligation Bond,"$82,000,000 ",K-12 School Facility,B,65.03,34.97,Pass,55%,2014,Primary,6/3/2014 0:00
Multiple,Loma Prieta Joint Union Elementary School District,PLF Debt,Parcel Tax: Authorized annual school parcel tax of $164 per parcel for 7 years.,K-12 School Facility,H,76.02,23.98,Pass,two-thirds,2013,Local,11/5/2013 0:00
Monterey,North Monterey County Unified School District,General Obligation Bond,"$23,800,000 ",K-12 School Facility,H,61.04,38.96,Pass,55%,2013,Local,11/5/2013 0:00
Contra Costa,Moraga,PLF Debt,Parcel Tax: Levy parcel tax of $192 per parcel for 6 years.,K-12 School Facility,B,68.36,31.64,Pass,two-thirds,2013,Local,11/5/2013 0:00
Kern,Mojave Unified School District,PLF Debt,Levy a parcel tax of $42 a year for 5 years.,K-12 School Facility,C,67.1,32.9,Pass,two-thirds,2013,Local,11/5/2013 0:00
Imperial,Calipatria Unified School District,General Obligation Bond,"$9,000,000 ",K-12 School Facility,T,60.7,39.3,Pass,55%,2013,Local,11/5/2013 0:00
San Mateo,San Mateo-Foster City School District,General Obligation Bond,"$130,000,000 ",K-12 School Facility,P,46.5,53.5,Fail,55%,2013,Local,11/5/2013 0:00
Monterey,Pacific Grove Unified School District,General Obligation Bond,"$27,800,000 ",K-12 School Facility,G,47.83,52.17,Fail,55%,2013,Local,11/5/2013 0:00
San Mateo,Las Lomitas Elementary School District,General Obligation Bond,"$60,000,000 ",K-12 School Facility,S,73.9,26.1,Pass,55%,2013,Local,11/5/2013 0:00
San Mateo,Belmont-Redwood Shores School District,PLF Debt,Parcel Tax: Renewed and continue an existing parcel tax of $174/year for 10 years.,K-12 School Facility,R,72,28,Pass,two-thirds,2013,Local,11/5/2013 0:00
Kern,Semitropic Elementary School District,General Obligation Bond,"$5,000,000 ",K-12 School Facility,D,62.5,37.5,Fail,two-thirds,2013,Local,11/5/2013 0:00
San Bernardino,Hesperia Unified School District,General Obligation Bond,"$2,750,000.00 ",K-12 School Facility,Y,94.12,5.88,Pass,two-thirds,2013,Local,6/11/2013 0:00
Marin,Bolinas-Stinson Union School District,PLF Debt,Parcel Tax: Levy special tax assessment of $300 per year per parcel for six years.,K-12 School Facility,A,68.73,31.27,Pass,two-thirds,2013,Local,6/4/2013 0:00
Santa Cruz,Soquel Union Elementary School District,PLF Debt,Parcel Tax: Levy a parcel tax of $90 per year per parcel.,K-12 School Facility,S,60.85,39.15,Fail,two-thirds,2013,Local,5/7/2013 0:00
Marin,San Rafael City Elementary School District,PLF Debt,Parcel Tax: Increase pre- existing parcel tax amount by 5% every year.,K-12 School Facility,A,78.64,21.36,Pass,two-thirds,2013,Local,5/7/2013 0:00
Marin,San Rafael City High School District,PLF Debt,Parcel Tax: Increase pre- existing parcel tax amount by 5% every year.,K-12 School Facility,B,79.08,20.92,Pass,two-thirds,2013,Local,5/7/2013 0:00
San Mateo,Portola Valley School District,PLF Debt,Parcel Tax: Extend existing parcel tax for 8 years at the increase rate of an additional $123 per year per parcel.,K-12 School Facility,O,69,31,Pass,two-thirds,2013,Local,5/7/2013 0:00
San Mateo,La Honda-Pescadero Unified School District,PLF Debt,Parcel Tax: Extend existing parcel tax of $100 a year for 7 years.,K-12 School Facility,N,67.7,32.3,Pass,two-thirds,2013,Local,5/7/2013 0:00
Santa Clara,Lakeside Joint School District,PLF Debt,Parcel Tax: 17 parcels transfer from Lakeside Joint Union School District to Loma Prieta Joint Union School District.,K-12 School Facility,A,15.65,84.35,Fail,Majority,2013,Local,5/7/2013 0:00
